Код товара,Автор,Название,Обложка,Рейтинг,Стикеры,Наличие,Цена,Издательство\Производитель:,Год издания\производства:,Место издания\производства:,Язык текста:,Тип обложки:,Обрез:,Иллюстраторы:,Формат:,Размеры в мм (ДхШхВ):,Вес:,Страниц:,Тираж:,Код товара:,ISBN:,В продаже с:,Описание,Тиснение:,Футляр:,Бумага:,Артикул:,Иллюстрации:,Возраст:,Язык оригинала:,Перевод:,Редактор/составитель:
1000044,Фицджеральд Ф. С.,Великий Гэтсби = The Great Gatsby. Уникальная методика обучения языку В. Ратке,https://www.moscowbooks.ru/image/book/664/w259/i664133.jpg,0,,True,224,АСТ,2019,Москва,английский,Мягкая обложка,,,60х84 1/16,200x137x24,260 гр.,320,2000 экз.,1000044,978-5-17-114038-0,27.07.2019,"Лучший способ учить иностранный язык — это читать художественное произведение, постепенно овладевая лексикой и грамматикой. Предлагаем учить английский язык вместе со знаменитым романом Фрэнсиса Скотта Фицджеральда ""Великий Гэтсби"". Адаптированный текст произведения снабжен подробным лексико-грамматическим комментарием, расположенным на полях, напротив комментируемого места, с отсылками на соответствующее правило грамматики. Объем Грамматического справочника, следующего сразу за романом, соответствует уровню выше среднего, поэтому им можно успешно пользоваться и в дальнейшем. В конце книги помещен англо-русский словарь, содержащий лексику романа. Издание предназначено для всех, кто начал и продолжает учить английский язык, кто стремится читать книги на английском.",,,,ASE000000000842319,,,,,
1000435,Достоевский Ф. М.,Чужая жена и муж под кроватью,https://www.moscowbooks.ru/image/book/664/w259/i664507.jpg,0,,True,144,АСТ,2019,Москва,русский,Мягкая обложка,,,76х100 1/32,180x115x27,240 гр.,384,5000 экз.,1000435,978-5-17-115705-0,30.07.2019,"Очень необычный сборник. Очень непривычный Достоевский. Достоевский не только (и не столько) трагический, но — ироничный, веселый, трогательный и даже сентиментальный. Достоевский ""малой формы"" — мастер злободневных сюжетов, комических ситуаций и остроумных диалогов. Достоевский в начале своего литературного пути — до ""Великого пятикнижия"". ""Село Степанчиково и его обитатели"", ""Хозяйка"", ""Чужая жена и муж под кроватью"" — без этих произведений невозможно понять Достоевского. Ведь именно в них наметились те философско-нравственные и социально-психологические мотивы творчества, из которых позже вырастут ""Братья Карамазовы"", ""Идиот"", ""Бесы"" и другие романы.",,,,ASE000000000843846,,,,,
1000624,"Стругацкий А. Н., Стругацкий Б. Н.",Полное собрание сочинений. В 33 томах. Том 16. 1970,https://www.moscowbooks.ru/image/book/664/w259/i664724.jpg,0,,True,3000,Издательство Сидорович,2019,СПб,русский,Твердый переплет (ткань),,,84х108 1/32,208x132x24,490 гр.,384,350 экз.,1000624,978-5-905909-26-9,31.07.2019,"Полное собрание сочинений Аркадия и Бориса Стругацких включает в себя 33 основных тома и некоторое количество дополнительных. Основные тома скомпонованы по хронологически-тематическому принципу и составлены из художественных и публицистических произведений, а также писем, дневников и записных книжек. Каждый том включает в себя эти компоненты творчества Стругацких за определённый год (первый том — за несколько лет). Разделы художественный и публицистический охватывают как опубликованные, канонические тексты, так и архивные, многое публикуется впервые. Письма, дневники, записные книжки Стругацких представлены во всей возможной полноте. Каждый том снабжён справочным аппаратом — примечаниями и комментариями, библиографией за рассматриваемый период, указателями персоналий и заглавий произведений. Некоторые комментарии даны Борисом Стругацким. Большинство томов имеют вклейки с фотографиями Стругацких и их рисунками из писем и рукописей.",,,,978-5-905909-26-9,,,,,
1000625,"Стругацкий А. Н., Стругацкий Б. Н.",Полное собрание сочинений. В 33 томах. Том 17. 1971,https://www.moscowbooks.ru/image/book/664/w259/i664723.jpg,0,,True,3000,Издательство Сидорович,2019,СПб,русский,Твердый переплет (ткань),,,84х108 1/32,208x132x38,760 гр.,624,350 экз.,1000625,978-5-905909-27-6,31.07.2019,"Полное собрание сочинений Аркадия и Бориса Стругацких включает в себя 33 основных тома и некоторое количество дополнительных. Основные тома скомпонованы по хронологически-тематическому принципу и составлены из художественных и публицистических произведений, а также писем, дневников и записных книжек. Каждый том включает в себя эти компоненты творчества Стругацких за определённый год (первый том — за несколько лет). Разделы художественный и публицистический охватывают как опубликованные, канонические тексты, так и архивные, многое публикуется впервые. Письма, дневники, записные книжки Стругацких представлены во всей возможной полноте. Каждый том снабжён справочным аппаратом — примечаниями и комментариями, библиографией за рассматриваемый период, указателями персоналий и заглавий произведений. Некоторые комментарии даны Борисом Стругацким. Большинство томов имеют вклейки с фотографиями Стругацких и их рисунками из писем и рукописей.",,,,978-5-905909-27-6,,,,,
1002955,Фицджеральд Ф. С.,Ночь нежна,https://www.moscowbooks.ru/image/book/666/w259/i666887.jpg,0,,True,160,Эксмо,2019,Москва,русский,Мягкая обложка,,,76х100 1/32,181x115x21,255 гр.,512,3000 экз.,1002955,978-5-04-100577-1,16.08.2019,"""Ночь нежна"" — удивительно тонкий и глубоко психологичный роман американского классика, который многие критики ставят даже выше ""Великого Гэтсби"", а сам автор называл ""самым любимым своим произведением"". И это не случайно: книга получилась во многом автобиографичной, Фицджеральд описал в ней оборотную сторону своей внешне роскошной жизни с женой Зельдой. Вожделенная американская мечта, обернувшаяся подлинной трагедией. В историю моральной деградации талантливого врача-психиатра он вложил те боль и страдания, которые сам пережил в борьбе с шизофренией супруги...",,,,ITD000000000950861,,,английский,Ильин С.,
1003154,"Стругацкий А. Н., Стругацкий Б. Н.",Собрание сочинений. 1979-1984. Жук в муравейнике; Хромая судьба; Волны гасят ветер. Том 8,https://www.moscowbooks.ru/image/book/667/w259/i667052.jpg,0,,True,690,АСТ,2019,Москва,русский,Твердый переплет,,,60х90 1/16,215x145x44,710 гр.,672,2500 экз.,1003154,978-5-17-116874-2,17.08.2019,"Аркадий (1925–1991) и Борис (1933–2012) Стругацкие — русские советские писатели-фантасты, поднявшие отечественную фантастику до высот мирового уровня. Переведенные на все основные языки, изданные суммарным тиражом более 500 миллионов экземпляров, их книги до сих пор экранизируются, активно обсуждаются и служат источником вдохновения для нового поколения писателей и читателей.",,,,ASE000000000845259,,,,,
1003888,Фрай М.,Неизвестным для меня способом,https://www.moscowbooks.ru/image/book/667/w259/i667906.jpg,0,,True,400,АСТ,2019,Москва,русский,Твердый переплет,,,84х108 1/32,200x130x20,325 гр.,288,7000 экз.,1003888,978-5-17-118948-8,23.08.2019,"Представьте себе человека, который сначала сам, по собственному желанию залезает в сундук и закрывает крышку. А потом начинает в этом сундуке задыхаться. И когда приступ клаустрофобии доводит его до полного истощения, он вдруг открывает глаза и понимает: сундука-то нет! Он исчез, и человек просто лежит на полу. Все рассказы в книге примерно про это. Ну или для этого. Чтобы все эти ваши сундуки исчезали, один за другим. Рассказ ""Сорок третий"" был опубликован в сборнике ""Nада"", рассказ ""Голова и лира плыли по Гебру"" — в сборнике ""Карты на стол"", обойтись без них было совершенно невозможно, очень уж качественно от этих рассказов рассеиваются сундуки.",,,,ASE000000000845246,,,,,
1004307,Фицджеральд Ф. С.,Великий Гэтсби / The Great Gatsby. Уровень 4,https://www.moscowbooks.ru/image/book/668/w259/i668315.jpg,0,,True,112,АСТ,2019,Москва,итальянский,Мягкая обложка,,,84х108 1/32,200x130x7,100 гр.,128,3000 экз.,1004307,978-5-17-116873-5,27.08.2019,"""Великий Гэтсби"" — вершина творчества американского писателя Ф. С. Фицджеральда. Поразительное умение автора видеть вечное в сиюминутном, романтическое восприятие жизни, стиль сродни джазовой импровизации — все это делает роман, написанный в 1925 г., интересным и сегодня.",,,,ASE000000000845258,,,,,
1006464,Глуховский Д. А.,Будущее,https://www.moscowbooks.ru/image/book/670/w259/i670272.jpg,0,,True,690,АСТ,2019,Москва,русский,Твердый переплет,,,70х90 1/16,215x170x30,575 гр.,480,3000 экз.,1006464,978-5-17-118366-0,09.09.2019,НА ЧТО ТЫ ГОТОВ РАДИ ВЕЧНОЙ ЖИЗНИ?,,,,ASE000000000846758,,,,,
1006605,"Стругацкий А. Н., Стругацкий Б. Н.",Собрание сочинений. Том 2. 12 CD: Мр3,https://www.moscowbooks.ru/image/book/670/w259/i670377.jpg,0,,True,1095,Ардис,2019,Москва,русский,Коробка,,,,157x157x25,300 гр.,,,1006605,4607031771389,09.09.2019,"""Аудиокнига в автомобиле"" — тщательно и с любовью подобранная коллекция аудиокниг, которые скрасят вам часы, проводимые в поездке. Мы предлагаем вашему вниманию отечественную и зарубежную классику, приключенческую и деловую литературу. А если путь предстоит неблизкий, а на соседнем сиденье расположился ребёнок, то не лишней окажется подборка рассказов и сказок для детей или ""Развивающих аудиоэнциклопедий"". Эта серия студии ""АРДИС"" издается в удобном, застёгивающемся на молнию металлическом боксе, который легко положить в бардачок автомобиля",,,,93253,,,,,
1006768,Фицджеральд Ф. С.,По эту сторону рая,https://www.moscowbooks.ru/image/book/670/w259/i670786.jpg,0,,True,152,АСТ,2019,Москва,русский,Мягкая обложка,,,76х100 1/32,180x115x25,215 гр.,352,5000 экз.,1006768,978-5-17-116868-1,10.09.2019,"Первый роман Фицджеральда, принесший ему литературную славу. Книга, ставшая манифестом для американской молодежи ""эпохи джаза"". Все молодые люди одинаковы. Они уверены, что их ждет блестящее будущее и весь мир принадлежит именно им. Так считал и амбициозный Эмори Блейн — пока не прошел суровую школу Первой мировой войны. Его история — судьба целого поколения, для которого ""все боги умерли, все войны отгремели, всякая вера подорвана"". Теперь, после множества потерь, вереницы неудач и горьких разочарований он жадно хочет только одного — развлекаться и наслаждаться каждым моментом. Но какова истинная ценность жизни ""по эту сторону рая""?",,,,ASE000000000845254,,,английский,Лорие М.,
1007342,Фицджеральд Ф. С.,Заметки о моем поколении,https://www.moscowbooks.ru/image/book/670/w259/i670918.jpg,5,,True,690,КоЛибри; Азбука-Аттикус,2019,Москва,русский,Твердый переплет,,,60х90 1/16,215x145x28,670 гр.,544,3000 экз.,1007342,978-5-389-08828-3,13.09.2019,"Фрэнсис Скотт Фицджеральд, возвестивший миру о начале нового века — ""века джаза"", стоит особняком в современной американской классике. Плоть от плоти той легендарной эпохи, он отразил ее ярче и беспристрастнее всех. Эрнест Хемингуэй писал о нем: ""Его талант был таким естественным, как узор из пыльцы на крыльях бабочки"". Книга ""Заметки о моем поколении"" представляет признанного мастера тонкого психологизма сразу с многих сторон: здесь и не переиздававшаяся без малого век автобиографическая повесть ""Странствие Самоходной Развалюхи"", и полное собрание статей, виртуозно балансирующих на грани между художественной прозой и документальной, и подборка стихотворений, и единственная в его творческом наследии полноценная пьеса — ""Размазня, или Из Президентов в почтальоны""… Большинство представленных в сборнике произведений переведены впервые, а немногие старые переводы тщательно отредактированы и восстановлены.",,,,А0000015751,,,английский,,
1010126,Хантер Э.,Дымная гора,https://www.moscowbooks.ru/image/book/673/w259/i673483.jpg,0,,True,312,Абрис,2020,Москва,русский,Твердый переплет,,Насыров Л.,84х108 1/32,200x130x16,330 гр.,320,3000 экз.,1010126,978-5-00111-588-5,30.09.2019,"Странники узнают, что есть на свете такое место, где разные медведи живут в мире и согласии, где много добычи и где не бывает Плосколицых...",,,,238119,,11 +,английский,Максимова В.,
